Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M, Rodrigo (14050946), Rodrigo,14050946,M/UTIL,4400,MCI vs SHU 01:00PM ET,MCI,6.13
D,Virgil van Dijk (14050790),Virgil van Dijk,14050790,D/UTIL,4300,LIV vs WOL 11:30AM ET,LIV,6.26
M, Fabinho (14050948), Fabinho,14050948,M/UTIL,4300,LIV vs WOL 11:30AM ET,LIV,6.29
D,Oleksandr Zinchenko (14050788),Oleksandr Zinchenko,14050788,D/UTIL,4300,MCI vs SHU 01:00PM ET,MCI,7.75
M,Oliver Norwood (14050950),Oliver Norwood,14050950,M/UTIL,4300,MCI vs SHU 01:00PM ET,SHU,8.75
F,Leon Clarke (14051068),Leon Clarke,14051068,F/UTIL,4300,MCI vs SHU 01:00PM ET,SHU,1.06
D,Matt Doherty (14050792),Matt Doherty,14050792,D/UTIL,4200,LIV vs WOL 11:30AM ET,WOL,6.71
M,Harvey Elliott (14050952),Harvey Elliott,14050952,M/UTIL,4200,LIV vs WOL 11:30AM ET,LIV,0
D,Kyle Walker (14050794),Kyle Walker,14050794,D/UTIL,4200,MCI vs SHU 01:00PM ET,MCI,6.43
F,Ian Carlo Poveda-Ocampo (14051070),Ian Carlo Poveda-Ocampo,14051070,F/UTIL,4200,MCI vs SHU 01:00PM ET,MCI,0
M, Jorginho (14050956), Jorginho,14050956,M/UTIL,4100,ARS vs CHE 09:00AM ET,CHE,6.29
